Date,Price (USD)
12/31/1978,207.83
01/31/1979,227.27
02/28/1979,245.67
03/30/1979,242.05
04/30/1979,239.16
05/31/1979,257.62
06/29/1979,279.07
07/31/1979,294.74
08/31/1979,300.82
09/28/1979,355.11
10/31/1979,391.66
11/30/1979,391.99
12/31/1979,455.08
01/31/1980,675.31
02/29/1980,665.32
03/31/1980,553.58
04/30/1980,517.41
05/30/1980,513.82
06/30/1980,600.72
07/31/1980,644.28
08/29/1980,627.15
09/30/1980,673.63
10/31/1980,661.15
11/28/1980,623.46
12/31/1980,594.92
01/30/1981,557.39
02/27/1981,499.76
03/31/1981,498.76
04/30/1981,495.8
05/29/1981,479.7
06/30/1981,460.76
07/31/1981,409.28
08/31/1981,410.16
09/30/1981,443.75
10/30/1981,437.75
11/30/1981,413.37
12/31/1981,410.09
01/29/1982,384.13
02/26/1982,374.13
03/31/1982,330.25
04/30/1982,350.34
05/31/1982,333.82
06/30/1982,314.98
07/30/1982,338.97
08/31/1982,364.23
09/30/1982,437.31
10/29/1982,422.15
11/30/1982,414.91
12/31/1982,444.29
01/31/1983,481.29
02/28/1983,491.2
03/31/1983,419.7
04/29/1983,432.88
05/31/1983,438.01
06/30/1983,412.84
07/29/1983,422.72
08/31/1983,416.24
09/30/1983,411.8
10/31/1983,393.58
11/30/1983,381.66
12/30/1983,388.34
01/31/1984,370.89
02/29/1984,385.92
03/30/1984,394.26
04/30/1984,381.36
05/31/1984,377.4
06/29/1984,377.67
07/31/1984,347.47
08/31/1984,347.68
09/28/1984,341.09
10/31/1984,340.17
11/30/1984,341.18
12/31/1984,320.16
01/31/1985,302.79
02/28/1985,299.1
03/29/1985,303.94
04/30/1985,325.27
05/31/1985,316.37
06/28/1985,316.49
07/31/1985,317.22
08/30/1985,329.79
09/30/1985,323.35
10/31/1985,325.84
11/29/1985,325.3
12/31/1985,321.88
01/31/1986,345.38
02/28/1986,338.89
03/31/1986,345.7
04/30/1986,340.44
05/30/1986,342.38
06/30/1986,342.72
07/31/1986,348.34
08/29/1986,376.59
09/30/1986,417.73
10/31/1986,423.51
11/28/1986,397.55
12/31/1986,390.92
01/30/1987,408.26
02/27/1987,401.11
03/31/1987,408.91
04/30/1987,438.35
05/29/1987,460.23
06/30/1987,449.59
07/31/1987,450.52
08/31/1987,461.15
09/30/1987,460.35
10/30/1987,465.35
11/30/1987,467.57
12/31/1987,486.24
01/29/1988,476.58
02/29/1988,442.07
03/31/1988,443.61
04/29/1988,451.55
05/31/1988,451.07
06/30/1988,451.33
07/29/1988,437.63
08/31/1988,431.28
09/30/1988,413.45
10/31/1988,406.78
11/30/1988,420.17
12/30/1988,419.05
01/31/1989,404.01
02/28/1989,387.51
03/31/1989,390.15
04/28/1989,384.4
05/31/1989,371.05
06/30/1989,367.6
07/31/1989,375.04
08/31/1989,365.14
09/29/1989,361.75
10/31/1989,366.88
11/30/1989,394.26
12/29/1989,409.39
01/31/1990,410.11
02/28/1990,416.81
03/30/1990,393.06
04/30/1990,374.24
05/31/1990,369.05
06/29/1990,352.33
07/31/1990,362.53
08/31/1990,394.73
09/28/1990,389.32
10/31/1990,380.74
11/30/1990,381.72
12/31/1990,376.95
01/31/1991,383.64
02/28/1991,363.83
03/29/1991,363.33
04/30/1991,358.38
05/31/1991,356.95
06/28/1991,366.72
07/31/1991,367.68
08/30/1991,356.3
09/30/1991,348.74
10/31/1991,358.69
11/29/1991,360.17
